Depth(mm),Width(mm),Flange thickness(mm),Web thickness(mm),Insulation thickness(mm),Insulation conductivity(W/m*K)
127.0,76.0,7.6,4.2,148.5,0.2
127.0,76.0,7.6,4.2,14.9,0.02
127.0,76.0,7.6,4.2,45.8,0.2
127.0,76.0,7.6,4.2,4.6,0.02
152.0,89.0,7.7,4.6,147.7,0.2
152.0,89.0,7.7,4.6,14.8,0.02
152.0,89.0,7.7,4.6,45.5,0.2
152.0,89.0,7.7,4.6,4.6,0.02
178.0,102.0,7.9,4.7,146.1,0.2
178.0,102.0,7.9,4.7,14.6,0.02
178.0,102.0,7.9,4.7,45.0,0.2
178.0,102.0,7.9,4.7,4.5,0.02
203.0,102.0,9.3,5.2,134.8,0.2
203.0,102.0,9.3,5.2,13.5,0.02
203.0,102.0,9.3,5.2,41.7,0.2
203.0,102.0,9.3,5.2,4.2,0.02
203.0,133.0,7.8,5.8,146.9,0.2
203.0,133.0,7.8,5.8,14.7,0.02
203.0,133.0,7.8,5.8,45.3,0.2
203.0,133.0,7.8,5.8,4.5,0.02
203.0,133.0,9.6,6.3,132.3,0.2
203.0,133.0,9.6,6.3,13.2,0.02
203.0,133.0,9.6,6.3,41.0,0.2
203.0,133.0,9.6,6.3,4.1,0.02
254.0,102.0,6.8,5.8,155.0,0.2
254.0,102.0,6.8,5.8,15.5,0.02
254.0,102.0,6.8,5.8,47.7,0.2
254.0,102.0,6.8,5.8,4.8,0.02
254.0,102.0,8.4,6.1,142.1,0.2
254.0,102.0,8.4,6.1,14.2,0.02
254.0,102.0,8.4,6.1,43.8,0.2
254.0,102.0,8.4,6.1,4.4,0.02
254.0,102.0,10.0,6.4,129.1,0.2
254.0,102.0,10.0,6.4,12.9,0.02
254.0,102.0,10.0,6.4,40.0,0.2
254.0,102.0,10.0,6.4,4.0,0.02
254.0,146.0,8.6,6.1,140.4,0.2
254.0,146.0,8.6,6.1,14.0,0.02
254.0,146.0,8.6,6.1,43.4,0.2
254.0,146.0,8.6,6.1,4.3,0.02
254.0,146.0,10.9,6.4,121.8,0.2
254.0,146.0,10.9,6.4,12.2,0.02
254.0,146.0,10.9,6.4,37.8,0.2
254.0,146.0,10.9,6.4,3.8,0.02
254.0,146.0,12.7,7.3,107.2,0.2
254.0,146.0,12.7,7.3,10.7,0.02
254.0,146.0,12.7,7.3,33.5,0.2
254.0,146.0,12.7,7.3,3.4,0.02
305.0,102.0,6.8,5.8,155.0,0.2
305.0,102.0,6.8,5.8,15.5,0.02
305.0,102.0,6.8,5.8,47.7,0.2
305.0,102.0,6.8,5.8,4.8,0.02
305.0,102.0,8.9,6.1,138.0,0.2
305.0,102.0,8.9,6.1,13.8,0.02
305.0,102.0,8.9,6.1,42.6,0.2
305.0,102.0,8.9,6.1,4.3,0.02
305.0,102.0,10.8,6.6,122.6,0.2
305.0,102.0,10.8,6.6,12.3,0.02
305.0,102.0,10.8,6.6,38.1,0.2
305.0,102.0,10.8,6.6,3.8,0.02
305.0,127.0,10.7,7.2,123.4,0.2
305.0,127.0,10.7,7.2,12.3,0.02
305.0,127.0,10.7,7.2,38.3,0.2
305.0,127.0,10.7,7.2,3.8,0.02
305.0,127.0,12.1,8.0,112.1,0.2
305.0,127.0,12.1,8.0,11.2,0.02
305.0,127.0,12.1,8.0,35.0,0.2
305.0,127.0,12.1,8.0,3.5,0.02
305.0,127.0,14.0,8.9,96.7,0.2
305.0,127.0,14.0,8.9,9.7,0.02
305.0,127.0,14.0,8.9,30.4,0.2
305.0,127.0,14.0,8.9,3.0,0.02
305.0,165.0,10.2,6.1,127.5,0.2
305.0,165.0,10.2,6.1,12.7,0.02
305.0,165.0,10.2,6.1,39.5,0.2
305.0,165.0,10.2,6.1,4.0,0.02
305.0,165.0,11.8,6.7,114.5,0.2
305.0,165.0,11.8,6.7,11.5,0.02
305.0,165.0,11.8,6.7,35.7,0.2
305.0,165.0,11.8,6.7,3.6,0.02
305.0,165.0,13.7,7.7,99.1,0.2
305.0,165.0,13.7,7.7,9.9,0.02
305.0,165.0,13.7,7.7,31.1,0.2
305.0,165.0,13.7,7.7,3.1,0.02
356.0,127.0,8.5,5.9,141.2,0.2
356.0,127.0,8.5,5.9,14.1,0.02
356.0,127.0,8.5,5.9,43.6,0.2
356.0,127.0,8.5,5.9,4.4,0.02
356.0,127.0,10.7,6.5,123.4,0.2
356.0,127.0,10.7,6.5,12.3,0.02
356.0,127.0,10.7,6.5,38.3,0.2
356.0,127.0,10.7,6.5,3.8,0.02
356.0,171.0,9.7,6.9,131.5,0.2
356.0,171.0,9.7,6.9,13.2,0.02
356.0,171.0,9.7,6.9,40.7,0.2
356.0,171.0,9.7,6.9,4.1,0.02
356.0,171.0,11.5,7.3,117.0,0.2
356.0,171.0,11.5,7.3,11.7,0.02
356.0,171.0,11.5,7.3,36.4,0.2
356.0,171.0,11.5,7.3,3.6,0.02
356.0,171.0,13.0,8.0,104.8,0.2
356.0,171.0,13.0,8.0,10.5,0.02
356.0,171.0,13.0,8.0,32.8,0.2
356.0,171.0,13.0,8.0,3.3,0.02
356.0,171.0,15.7,9.1,82.9,0.2
356.0,171.0,15.7,9.1,8.3,0.02
356.0,171.0,15.7,9.1,26.3,0.2
356.0,171.0,15.7,9.1,2.6,0.02
406.0,140.0,8.6,6.3,140.4,0.2
406.0,140.0,8.6,6.3,14.0,0.02
406.0,140.0,8.6,6.3,43.4,0.2
406.0,140.0,8.6,6.3,4.3,0.02
406.0,140.0,11.2,6.9,119.4,0.2
406.0,140.0,11.2,6.9,11.9,0.02
406.0,140.0,11.2,6.9,37.1,0.2
406.0,140.0,11.2,6.9,3.7,0.02
406.0,178.0,10.9,7.6,121.8,0.2
406.0,178.0,10.9,7.6,12.2,0.02
406.0,178.0,10.9,7.6,37.8,0.2
406.0,178.0,10.9,7.6,3.8,0.02
406.0,178.0,12.8,7.8,106.4,0.2
406.0,178.0,12.8,7.8,10.6,0.02
406.0,178.0,12.8,7.8,33.3,0.2
406.0,178.0,12.8,7.8,3.3,0.02
406.0,178.0,14.3,8.8,94.3,0.2
406.0,178.0,14.3,8.8,9.4,0.02
406.0,178.0,14.3,8.8,29.7,0.2
406.0,178.0,14.3,8.8,3.0,0.02
406.0,178.0,16.0,9.7,80.5,0.2
406.0,178.0,16.0,9.7,8.1,0.02
406.0,178.0,16.0,9.7,25.6,0.2
406.0,178.0,16.0,9.7,2.6,0.02
457.0,152.0,10.9,7.6,121.8,0.2
457.0,152.0,10.9,7.6,12.2,0.02
457.0,152.0,10.9,7.6,37.8,0.2
457.0,152.0,10.9,7.6,3.8,0.02
457.0,152.0,13.3,8.0,102.4,0.2
457.0,152.0,13.3,8.0,10.2,0.02
457.0,152.0,13.3,8.0,32.1,0.2
457.0,152.0,13.3,8.0,3.2,0.02
457.0,152.0,15.0,9.1,88.6,0.2
457.0,152.0,15.0,9.1,8.9,0.02
457.0,152.0,15.0,9.1,28.0,0.2
457.0,152.0,15.0,9.1,2.8,0.02
457.0,152.0,17.0,9.9,72.4,0.2
457.0,152.0,17.0,9.9,7.2,0.02
457.0,152.0,17.0,9.9,23.2,0.2
457.0,152.0,17.0,9.9,2.3,0.02
457.0,152.0,18.9,10.7,57.0,0.2
457.0,152.0,18.9,10.7,5.7,0.02
457.0,152.0,18.9,10.7,18.6,0.2
457.0,152.0,18.9,10.7,1.9,0.02
457.0,191.0,12.7,8.5,107.2,0.2
457.0,191.0,12.7,8.5,10.7,0.02
457.0,191.0,12.7,8.5,33.5,0.2
457.0,191.0,12.7,8.5,3.4,0.02
457.0,191.0,14.5,9.1,92.7,0.2
457.0,191.0,14.5,9.1,9.3,0.02
457.0,191.0,14.5,9.1,29.2,0.2
457.0,191.0,14.5,9.1,2.9,0.02
457.0,191.0,16.0,9.9,80.5,0.2
457.0,191.0,16.0,9.9,8.1,0.02
457.0,191.0,16.0,9.9,25.6,0.2
457.0,191.0,16.0,9.9,2.6,0.02
457.0,191.0,17.7,10.6,66.7,0.2
457.0,191.0,17.7,10.6,6.7,0.02
457.0,191.0,17.7,10.6,21.5,0.2
457.0,191.0,17.7,10.6,2.2,0.02
457.0,191.0,19.6,11.4,51.3,0.2
457.0,191.0,19.6,11.4,5.1,0.02
457.0,191.0,19.6,11.4,17.0,0.2
457.0,191.0,19.6,11.4,1.7,0.02
433.0,210.0,13.2,9.6,103.2,0.2
433.0,210.0,13.2,9.6,10.3,0.02
433.0,210.0,13.2,9.6,32.3,0.2
433.0,210.0,13.2,9.6,3.2,0.02
433.0,210.0,15.6,10.2,83.7,0.2
433.0,210.0,15.6,10.2,8.4,0.02
433.0,210.0,15.6,10.2,26.6,0.2
433.0,210.0,15.6,10.2,2.7,0.02
433.0,210.0,17.4,10.9,69.2,0.2
433.0,210.0,17.4,10.9,6.9,0.02
433.0,210.0,17.4,10.9,22.2,0.2
433.0,210.0,17.4,10.9,2.2,0.02
433.0,210.0,18.8,11.6,57.8,0.2
433.0,210.0,18.8,11.6,5.8,0.02
433.0,210.0,18.8,11.6,18.9,0.2
433.0,210.0,18.8,11.6,1.9,0.02
433.0,210.0,21.3,12.8,47.9,0.2
433.0,210.0,21.3,12.8,4.8,0.02
433.0,210.0,21.3,12.8,15.6,0.2
433.0,210.0,21.3,12.8,1.6,0.02
610.0,229.0,14.8,10.6,90.2,0.2
610.0,229.0,14.8,10.6,9.0,0.02
610.0,229.0,14.8,10.6,28.5,0.2
610.0,229.0,14.8,10.6,2.8,0.02
610.0,229.0,17.3,11.2,70.0,0.2
610.0,229.0,17.3,11.2,7.0,0.02
610.0,229.0,17.3,11.2,22.5,0.2
610.0,229.0,17.3,11.2,2.2,0.02
610.0,229.0,19.6,11.9,51.3,0.2
610.0,229.0,19.6,11.9,5.1,0.02
610.0,229.0,19.6,11.9,17.0,0.2
610.0,229.0,19.6,11.9,1.7,0.02
610.0,229.0,22.1,13.1,47.3,0.2
610.0,229.0,22.1,13.1,4.7,0.02
610.0,229.0,22.1,13.1,15.4,0.2
610.0,229.0,22.1,13.1,1.5,0.02
610.0,305.0,19.7,11.9,50.5,0.2
610.0,305.0,19.7,11.9,5.1,0.02
610.0,305.0,19.7,11.9,16.7,0.2
610.0,305.0,19.7,11.9,1.7,0.02
610.0,305.0,23.6,14.1,46.0,0.2
610.0,305.0,23.6,14.1,4.6,0.02
610.0,305.0,23.6,14.1,14.9,0.2
610.0,305.0,23.6,14.1,1.5,0.02
610.0,305.0,31.4,18.6,39.6,0.2
610.0,305.0,31.4,18.6,4.0,0.02
610.0,305.0,31.4,18.6,12.6,0.2
610.0,305.0,31.4,18.6,1.3,0.02
686.0,254.0,16.2,11.7,78.9,0.2
686.0,254.0,16.2,11.7,7.9,0.02
686.0,254.0,16.2,11.7,25.1,0.2
686.0,254.0,16.2,11.7,2.5,0.02
686.0,254.0,19.0,12.4,56.2,0.2
686.0,254.0,19.0,12.4,5.6,0.02
686.0,254.0,19.0,12.4,18.4,0.2
686.0,254.0,19.0,12.4,1.8,0.02
686.0,254.0,21.0,13.2,48.2,0.2
686.0,254.0,21.0,13.2,4.8,0.02
686.0,254.0,21.0,13.2,15.7,0.2
686.0,254.0,21.0,13.2,1.6,0.02
686.0,254.0,23.7,14.5,45.9,0.2
686.0,254.0,23.7,14.5,4.6,0.02
686.0,254.0,23.7,14.5,14.9,0.2
686.0,254.0,23.7,14.5,1.5,0.02
762.0,267.0,17.5,12.9,68.4,0.2
762.0,267.0,17.5,12.9,6.8,0.02
762.0,267.0,17.5,12.9,22.0,0.2
762.0,267.0,17.5,12.9,2.2,0.02
762.0,267.0,21.6,14.3,47.7,0.2
762.0,267.0,21.6,14.3,4.8,0.02
762.0,267.0,21.6,14.3,15.5,0.2
762.0,267.0,21.6,14.3,1.6,0.02
762.0,267.0,25.4,15.6,44.5,0.2
762.0,267.0,25.4,15.6,4.5,0.02
762.0,267.0,25.4,15.6,14.4,0.2
762.0,267.0,25.4,15.6,1.4,0.02
838.0,292.0,18.8,14.0,57.8,0.2
838.0,292.0,18.8,14.0,5.8,0.02
838.0,292.0,18.8,14.0,18.9,0.2
838.0,292.0,18.8,14.0,1.9,0.02
914.0,305.0,20.2,15.2,48.8,0.2
914.0,305.0,20.2,15.2,4.9,0.02
914.0,305.0,20.2,15.2,15.9,0.2
914.0,305.0,20.2,15.2,1.6,0.02
914.0,419.0,32.0,19.4,39.1,0.2
914.0,419.0,32.0,19.4,3.9,0.02
914.0,419.0,32.0,19.4,12.4,0.2
914.0,419.0,32.0,19.4,1.2,0.02
914.0,419.0,36.6,21.5,35.3,0.2
914.0,419.0,36.6,21.5,3.5,0.02
914.0,419.0,36.6,21.5,11.0,0.2
914.0,419.0,36.6,21.5,1.1,0.02
80.0,46.0,5.2,3.8,16.8,0.02
80.0,46.0,5.2,3.8,51.5,0.2
80.0,46.0,5.2,3.8,5.2,0.02
100.0,55.0,5.7,4.1,16.4,0.02
100.0,55.0,5.7,4.1,50.3,0.2
100.0,55.0,5.7,4.1,5.0,0.02
120.0,64.0,6.3,4.4,159.1,0.2
120.0,64.0,6.3,4.4,15.9,0.02
120.0,64.0,6.3,4.4,48.9,0.2
120.0,64.0,6.3,4.4,4.9,0.02
140.0,73.0,6.9,4.7,154.2,0.2
140.0,73.0,6.9,4.7,15.4,0.02
140.0,73.0,6.9,4.7,47.4,0.2
140.0,73.0,6.9,4.7,4.7,0.02
160.0,82.0,7.4,5.0,150.2,0.2
160.0,82.0,7.4,5.0,15.0,0.02
160.0,82.0,7.4,5.0,46.2,0.2
160.0,82.0,7.4,5.0,4.6,0.02
180.0,91.0,8.0,5.3,145.3,0.2
180.0,91.0,8.0,5.3,14.5,0.02
180.0,91.0,8.0,5.3,44.8,0.2
180.0,91.0,8.0,5.3,4.5,0.02
200.0,100.0,8.5,5.6,141.2,0.2
200.0,100.0,8.5,5.6,14.1,0.02
200.0,100.0,8.5,5.6,43.6,0.2
200.0,100.0,8.5,5.6,4.4,0.02
220.0,110.0,9.2,5.9,135.6,0.2
220.0,110.0,9.2,5.9,13.6,0.02
220.0,110.0,9.2,5.9,41.9,0.2
220.0,110.0,9.2,5.9,4.2,0.02
240.0,120.0,9.8,6.2,130.7,0.2
240.0,120.0,9.8,6.2,13.1,0.02
240.0,120.0,9.8,6.2,40.5,0.2
240.0,120.0,9.8,6.2,4.0,0.02
270.0,135.0,10.2,6.6,127.5,0.2
270.0,135.0,10.2,6.6,12.7,0.02
270.0,135.0,10.2,6.6,39.5,0.2
270.0,135.0,10.2,6.6,4.0,0.02
300.0,150.0,10.7,7.1,123.4,0.2
300.0,150.0,10.7,7.1,12.3,0.02
300.0,150.0,10.7,7.1,38.3,0.2
300.0,150.0,10.7,7.1,3.8,0.02
330.0,160.0,11.5,7.5,117.0,0.2
330.0,160.0,11.5,7.5,11.7,0.02
330.0,160.0,11.5,7.5,36.4,0.2
330.0,160.0,11.5,7.5,3.6,0.02
360.0,170.0,12.7,8.0,107.2,0.2
360.0,170.0,12.7,8.0,10.7,0.02
360.0,170.0,12.7,8.0,33.5,0.2
360.0,170.0,12.7,8.0,3.4,0.02
400.0,180.0,13.5,8.6,100.8,0.2
400.0,180.0,13.5,8.6,10.1,0.02
400.0,180.0,13.5,8.6,31.6,0.2
400.0,180.0,13.5,8.6,3.2,0.02
450.0,190.0,14.6,9.4,91.8,0.2
450.0,190.0,14.6,9.4,9.2,0.02
450.0,190.0,14.6,9.4,29.0,0.2
450.0,190.0,14.6,9.4,2.9,0.02
500.0,200.0,16.0,10.2,80.5,0.2
500.0,200.0,16.0,10.2,8.1,0.02
500.0,200.0,16.0,10.2,25.6,0.2
500.0,200.0,16.0,10.2,2.6,0.02
550.0,210.0,17.2,11.1,70.8,0.2
550.0,210.0,17.2,11.1,7.1,0.02
550.0,210.0,17.2,11.1,22.7,0.2
550.0,210.0,17.2,11.1,2.3,0.02
600.0,220.0,19.0,12.0,56.2,0.2
600.0,220.0,19.0,12.0,5.6,0.02
600.0,220.0,19.0,12.0,18.4,0.2
600.0,220.0,19.0,12.0,1.8,0.02
750.0,134.0,15.5,12.0,84.6,0.2
750.0,134.0,15.5,12.0,8.5,0.02
750.0,134.0,15.5,12.0,26.8,0.2
750.0,134.0,15.5,12.0,2.7,0.02
750.0,147.0,17.0,13.2,72.4,0.2
750.0,147.0,17.0,13.2,7.2,0.02
750.0,147.0,17.0,13.2,23.2,0.2
750.0,147.0,17.0,13.2,2.3,0.02
750.0,173.0,21.6,14.4,47.7,0.2
750.0,173.0,21.6,14.4,4.8,0.02
750.0,173.0,21.6,14.4,15.5,0.2
750.0,173.0,21.6,14.4,1.6,0.02
750.0,196.0,25.4,15.6,44.5,0.2
750.0,196.0,25.4,15.6,4.5,0.02
750.0,196.0,25.4,15.6,14.4,0.2
750.0,196.0,25.4,15.6,1.4,0.02
800.0,400.0,30.0,10.0,40.8,0.2
800.0,400.0,30.0,10.0,4.1,0.02
800.0,400.0,30.0,10.0,13.0,0.2
800.0,400.0,30.0,10.0,1.3,0.02
800.0,300.0,20.0,8.0,49.0,0.2
800.0,300.0,20.0,8.0,4.9,0.02
800.0,300.0,20.0,8.0,16.0,0.2
800.0,300.0,20.0,8.0,1.6,0.02
800.0,400.0,25.0,10.0,44.9,0.2
800.0,400.0,25.0,10.0,4.5,0.02
800.0,400.0,25.0,10.0,14.5,0.2
800.0,400.0,25.0,10.0,1.4,0.02
1200.0,300.0,25.0,12.0,44.9,0.2
1200.0,300.0,25.0,12.0,4.5,0.02
1200.0,300.0,25.0,12.0,14.5,0.2
1200.0,300.0,25.0,12.0,1.4,0.02
1200.0,400.0,30.0,12.0,40.8,0.2
1200.0,400.0,30.0,12.0,4.1,0.02
1200.0,400.0,30.0,12.0,13.0,0.2
1200.0,400.0,30.0,12.0,1.3,0.02
1200.0,400.0,25.0,12.0,44.9,0.2
1200.0,400.0,25.0,12.0,4.5,0.02
1200.0,400.0,25.0,12.0,14.5,0.2
1200.0,400.0,25.0,12.0,1.4,0.02
1200.0,500.0,30.0,12.0,40.8,0.2
1200.0,500.0,30.0,12.0,4.1,0.02
1200.0,500.0,30.0,12.0,13.0,0.2
1200.0,500.0,30.0,12.0,1.3,0.02
1200.0,500.0,35.0,12.0,36.6,0.2
1200.0,500.0,35.0,12.0,3.7,0.02
1200.0,500.0,35.0,12.0,11.5,0.2
1200.0,500.0,35.0,12.0,1.2,0.02
1500.0,300.0,25.0,15.0,44.9,0.2
1500.0,300.0,25.0,15.0,4.5,0.02
1500.0,300.0,25.0,15.0,14.5,0.2
1500.0,300.0,25.0,15.0,1.4,0.02
1500.0,600.0,35.0,30.0,36.6,0.2
1500.0,600.0,35.0,30.0,3.7,0.02
1500.0,600.0,35.0,30.0,11.5,0.2
1500.0,600.0,35.0,30.0,1.2,0.02
1500.0,600.0,35.0,15.0,36.6,0.2
1500.0,600.0,35.0,15.0,3.7,0.02
1500.0,600.0,35.0,15.0,11.5,0.2
1500.0,600.0,35.0,15.0,1.2,0.02
1500.0,500.0,30.0,20.0,40.8,0.2
1500.0,500.0,30.0,20.0,4.1,0.02
1500.0,500.0,30.0,20.0,13.0,0.2
1500.0,500.0,30.0,20.0,1.3,0.02
1200.0,600.0,40.0,12.0,32.5,0.2
1200.0,600.0,40.0,12.0,3.2,0.02
1200.0,600.0,40.0,12.0,10.0,0.2
1200.0,600.0,40.0,12.0,1.0,0.02
1500.0,400.0,30.0,15.0,40.8,0.2
1500.0,400.0,30.0,15.0,4.1,0.02
1500.0,400.0,30.0,15.0,13.0,0.2
1500.0,400.0,30.0,15.0,1.3,0.02
1000.0,600.0,35.0,10.0,36.6,0.2
1000.0,600.0,35.0,10.0,3.7,0.02
1000.0,600.0,35.0,10.0,11.5,0.2
1000.0,600.0,35.0,10.0,1.2,0.02
1000.0,400.0,30.0,10.0,40.8,0.2
1000.0,400.0,30.0,10.0,4.1,0.02
1000.0,400.0,30.0,10.0,13.0,0.2

1000.0,400.0,30.0,10.0,1.3,0.02

